,Network,Network2,Network3,Basic Linear,Basic Exp,Basic Log,Basic Qua,G&R,True Answer
0,704,734,758,739,917,930,907,999.0,21.0
1,703,759,715,719,1018,740,977,977.0,
2,743,734,664,799,917,970,937,997.0,
3,729,739,689,760,807,881,969,997.0,
4,685,714,710,796,922,913,942,969.0,
5,700,718,718,752,841,920,995,959.0,
6,720,736,677,780,975,907,936,992.0,
7,725,724,744,756,838,708,958,970.0,
8,719,703,697,765,663,974,960,1004.0,
9,714,663,680,753,1016,694,952,1006.0,
10,741,729,692,782,1011,848,936,989.0,
11,683,691,724,735,974,973,995,982.0,
12,719,719,682,810,923,670,981,990.0,
13,691,714,679,772,951,985,985,991.0,
14,716,723,711,755,831,929,974,1002.0,
15,706,707,719,750,974,936,970,958.0,
16,719,705,707,778,910,950,965,922.0,
17,696,719,694,749,959,982,963,972.0,
18,730,727,702,755,726,893,921,1024.0,
19,729,706,675,757,952,943,923,976.0,
20,709,729,721,772,1005,655,936,982.0,
21,690,724,691,733,976,855,956,1007.0,
22,690,705,674,771,694,934,930,967.0,
23,715,720,690,735,962,668,973,956.0,
24,710,718,696,738,1020,946,945,1001.0,
25,727,724,699,735,883,761,990,988.0,
26,746,687,700,763,688,907,966,960.0,
27,705,681,702,773,905,846,930,993.0,
28,684,718,678,790,703,951,984,1016.0,
29,703,702,688,769,780,835,962,992.0,
30,728,726,719,777,983,928,967,955.0,
31,725,754,698,771,921,960,957,1005.0,
32,728,726,723,734,956,870,985,1004.0,
33,686,740,714,721,904,749,955,1049.0,
34,705,764,704,770,773,909,937,963.0,
35,701,692,668,777,922,583,960,999.0,
36,708,738,656,783,795,528,909,967.0,
37,709,702,685,773,871,728,960,957.0,
38,717,742,691,792,975,935,957,1024.0,
39,711,750,692,745,861,902,906,1014.0,
40,731,708,695,773,905,768,983,966.0,
41,688,711,701,785,912,903,942,1002.0,
42,732,680,724,746,861,910,976,992.0,
43,751,713,696,799,1004,970,958,1043.0,
44,707,733,716,745,669,669,946,1012.0,
45,726,691,717,769,1003,969,1004,935.0,
46,708,706,664,734,852,698,944,995.0,
47,700,741,705,761,962,935,942,1013.0,
48,752,691,698,764,987,944,936,994.0,
49,734,714,701,734,993,957,984,1014.0,
50,725,706,718,750,961,779,994,979.0,
51,701,722,700,763,870,782,915,1020.0,
52,690,724,726,739,633,974,945,1009.0,
53,681,754,693,751,965,867,883,938.0,
54,747,710,701,765,1021,926,979,937.0,
55,716,726,698,734,738,880,968,1007.0,
56,716,731,714,789,960,927,958,983.0,
57,705,705,700,720,1020,920,977,972.0,
58,670,707,715,772,958,805,1004,977.0,
59,682,698,696,778,818,840,970,1005.0,
60,705,719,697,753,870,966,963,988.0,
61,731,674,729,779,922,693,923,1018.0,
62,735,718,701,751,948,664,954,985.0,
63,718,722,707,749,985,949,976,991.0,
64,699,720,728,765,654,941,908,963.0,
65,739,739,664,750,988,928,931,1012.0,
66,714,734,692,772,808,944,985,967.0,
67,724,704,696,788,867,931,960,968.0,
68,746,713,708,766,918,988,974,1042.0,
69,729,722,705,755,1009,870,960,1012.0,
70,694,728,667,743,984,941,940,1039.0,
71,687,682,672,753,855,956,940,1040.0,
72,729,725,696,770,963,664,915,962.0,
73,725,756,685,775,875,655,891,1033.0,
74,691,685,703,755,914,948,969,999.0,
75,709,717,685,769,954,941,969,1001.0,
76,725,700,702,762,970,687,948,997.0,
77,703,727,726,739,902,813,950,1047.0,
78,677,723,666,771,852,982,956,995.0,
79,742,737,706,792,965,876,957,971.0,
80,712,756,704,774,901,833,923,1006.0,
81,737,703,662,725,933,696,958,988.0,
82,705,731,701,725,1043,990,975,943.0,
83,707,745,739,723,928,657,980,956.0,
84,717,712,676,761,1000,742,969,983.0,
85,715,719,703,781,927,972,974,961.0,
86,726,724,704,739,998,933,961,935.0,
87,744,715,686,749,626,943,955,929.0,
88,710,713,682,757,894,843,939,938.0,
89,709,701,724,778,723,921,934,977.0,
90,715,711,671,779,853,981,947,974.0,
91,708,727,678,763,637,786,966,1032.0,
92,724,695,711,755,753,881,948,983.0,
93,723,701,667,767,950,1001,942,1029.0,
94,705,731,730,766,786,904,952,966.0,
95,717,680,700,759,757,907,979,970.0,
96,702,699,650,787,994,687,926,991.0,
97,691,716,689,786,842,972,977,941.0,
98,715,677,669,764,960,944,924,985.0,
99,719,706,695,752,830,968,936,966.0,
